P start clock reset W H A busy
0 0 0 1 x x x x
0 0 1 1 x x x x
0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0
92 1 0 0 x x x x
92 1 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
0 0 1 0 x x x x
0 0 0 0 x x x x
