N new reset clock num_inc max busy
0 0 1 0 x x x
0 0 1 1 0 0 0
131 1 0 0 x x x
131 1 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 1 131 0
0 0 0 1 1 131 0
130 1 0 0 x x x
130 1 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 1 131 0
0 0 0 1 1 131 0
58 1 0 0 x x x
58 1 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
0 0 0 0 x x x
0 0 0 1 x x x
