A B C M S F
0 0 0 1 0 0
0 0 1 1 0 1
1 0 0 1 0 1
1 0 1 1 0 2
2 0 0 1 0 2
2 0 1 1 0 3
3 0 0 1 0 3
3 0 1 1 0 4
4 0 0 1 0 4
4 0 1 1 0 5
5 0 0 1 0 5
5 0 1 1 0 6
6 0 0 1 0 6
6 0 1 1 0 7
7 0 0 1 0 7
8 0 0 1 0 8
8 0 1 1 0 9
9 0 0 1 0 9
9 0 1 1 0 10
10 0 0 1 0 10
10 0 1 1 0 11
11 0 0 1 0 11
11 0 1 1 0 12
12 0 0 1 0 12
12 0 1 1 0 13
13 0 0 1 0 13
13 0 1 1 0 14
14 0 0 1 0 14
14 0 1 1 0 15
15 0 0 1 0 15
15 0 1 1 0 0
0 0 0 1 1 15
0 0 1 1 1 0
1 0 0 1 1 0
1 0 1 1 1 1
2 0 0 1 1 1
2 0 1 1 1 2
3 0 0 1 1 2
3 0 1 1 1 3
4 0 0 1 1 3
4 0 1 1 1 4
5 0 0 1 1 4
5 0 1 1 1 5
6 0 0 1 1 5
6 0 1 1 1 6
7 0 0 1 1 6
7 0 1 1 1 7
8 0 1 1 1 8
9 0 0 1 1 8
9 0 1 1 1 9
10 0 0 1 1 9
10 0 1 1 1 10
11 0 0 1 1 10
11 0 1 1 1 11
12 0 0 1 1 11
12 0 1 1 1 12
13 0 0 1 1 12
13 0 1 1 1 13
14 0 0 1 1 13
14 0 1 1 1 14
15 0 0 1 1 14
15 0 1 1 1 15
0 0 0 1 2 0
0 0 1 1 2 1
0 1 0 1 2 1
0 1 1 1 2 2
0 2 0 1 2 2
0 2 1 1 2 3
0 3 0 1 2 3
0 3 1 1 2 4
0 4 0 1 2 4
0 4 1 1 2 5
0 5 0 1 2 5
0 5 1 1 2 6
0 6 0 1 2 6
0 6 1 1 2 7
0 7 0 1 2 7
0 8 0 1 2 8
0 8 1 1 2 9
0 9 0 1 2 9
0 9 1 1 2 10
0 10 0 1 2 10
0 10 1 1 2 11
0 11 0 1 2 11
0 11 1 1 2 12
0 12 0 1 2 12
0 12 1 1 2 13
0 13 0 1 2 13
0 13 1 1 2 14
0 14 0 1 2 14
0 14 1 1 2 15
0 15 0 1 2 15
0 15 1 1 2 0
1 0 0 1 2 1
1 0 1 1 2 2
1 1 0 1 2 2
1 1 1 1 2 3
1 2 0 1 2 3
1 2 1 1 2 4
1 3 0 1 2 4
1 3 1 1 2 5
1 4 0 1 2 5
1 4 1 1 2 6
1 5 0 1 2 6
1 5 1 1 2 7
1 6 0 1 2 7
1 8 0 1 2 9
1 8 1 1 2 10
1 9 0 1 2 10
1 9 1 1 2 11
1 10 0 1 2 11
1 10 1 1 2 12
1 11 0 1 2 12
1 11 1 1 2 13
1 12 0 1 2 13
1 12 1 1 2 14
1 13 0 1 2 14
1 13 1 1 2 15
1 14 0 1 2 15
1 14 1 1 2 0
1 15 0 1 2 0
1 15 1 1 2 1
2 0 0 1 2 2
2 0 1 1 2 3
2 1 0 1 2 3
2 1 1 1 2 4
2 2 0 1 2 4
2 2 1 1 2 5
2 3 0 1 2 5
