A B M S F
0 0 0 4 0
0 1 0 4 0
0 2 0 4 0
0 3 0 4 0
0 4 0 4 0
0 5 0 4 0
0 6 0 4 0
0 7 0 4 0
0 8 0 4 0
0 9 0 4 0
0 10 0 4 0
0 11 0 4 0
0 12 0 4 0
0 13 0 4 0
0 14 0 4 0
0 15 0 4 0
1 0 0 4 0
1 1 0 4 1
1 2 0 4 0
1 3 0 4 1
1 4 0 4 0
1 5 0 4 1
1 6 0 4 0
1 7 0 4 1
1 8 0 4 0
1 9 0 4 1
1 10 0 4 0
1 11 0 4 1
1 12 0 4 0
1 13 0 4 1
1 14 0 4 0
1 15 0 4 1
2 0 0 4 0
2 1 0 4 0
2 2 0 4 2
2 3 0 4 2
2 4 0 4 0
2 5 0 4 0
2 6 0 4 2
2 7 0 4 2
2 8 0 4 0
2 9 0 4 0
2 10 0 4 2
2 11 0 4 2
2 12 0 4 0
2 13 0 4 0
2 14 0 4 2
2 15 0 4 2
3 0 0 4 0
3 1 0 4 1
3 2 0 4 2
3 3 0 4 3
3 4 0 4 0
3 5 0 4 1
3 6 0 4 2
3 7 0 4 3
3 8 0 4 0
3 9 0 4 1
3 10 0 4 2
3 11 0 4 3
3 12 0 4 0
3 13 0 4 1
3 14 0 4 2
3 15 0 4 3
4 0 0 4 0
4 1 0 4 0
4 2 0 4 0
4 3 0 4 0
4 4 0 4 4
4 5 0 4 4
4 6 0 4 4
4 7 0 4 4
4 8 0 4 0
4 9 0 4 0
4 10 0 4 0
4 11 0 4 0
4 12 0 4 4
4 13 0 4 4
4 14 0 4 4
4 15 0 4 4
5 0 0 4 0
5 1 0 4 1
5 2 0 4 0
5 3 0 4 1
5 4 0 4 4
5 5 0 4 5
5 6 0 4 4
5 7 0 4 5
5 8 0 4 0
5 9 0 4 1
5 10 0 4 0
5 11 0 4 1
5 12 0 4 4
5 13 0 4 5
5 14 0 4 4
5 15 0 4 5
6 0 0 4 0
6 1 0 4 0
6 2 0 4 2
6 3 0 4 2
6 4 0 4 4
6 5 0 4 4
6 6 0 4 6
6 7 0 4 6
6 8 0 4 0
6 9 0 4 0
6 10 0 4 2
6 11 0 4 2
6 12 0 4 4
6 13 0 4 4
6 14 0 4 6
6 15 0 4 6
7 0 0 4 0
7 1 0 4 1
7 2 0 4 2
7 3 0 4 3
